Nutmeg	0
butter	O
has	O
75	PERCENT
%	PERCENT
trimyristin	MEDICINE
,	O
the	O
triglyceride	MEDICINE
of	O
myristic	MEDICINE
acid	MEDICINE
.	O
Besidesnutmeg	PERSON
,	O
myristic	MEDICINE
acid	MEDICINE
is	O
also	O
found	O
in	O
palm	O
kernel	O
oil	O
,	O
coconut	O
oil	O
,	O
butterfat	O
,	O
8-14	PERCENT
%	PERCENT
of	O
bovine	O
milk	O
,	O
and	O
8.6	PERCENT
%	PERCENT
of	O
breast	O
milk	O
as	O
well	O
as	O
being	O
aminor	O
component	O
of	O
many	O
other	O
animal	O
fats	O
.	O
It	O
is	O
also	O
found	O
in	O
spermaceti	O
,	O
the	O
crystallized	O
fraction	O
of	O
oil	O
from	O
the	O
sperm	O
whale	O
.	O
It	O
is	O
also	O
found	O
in	O
therhizomes	O
of	O
the	O
Iris	O
,	O
including	O
Orris	PERSON
root	O
.	O
It	O
also	O
comprises	O
14.49	PERCENT
%	PERCENT
of	O
the	O
fats	O
from	O
the	O
fruit	O
of	O
the	O
Durian	MISC
species	O
_	O
Durio	PERSON
graveolens	O
_	NUMBER
.	O
