Okadaic	MISC
acid	O
and	O
its	O
relatives	O
are	O
known	O
to	O
strongly	O
inhibit	O
proteinphosphatases	O
,	O
specifically	O
serine/threonine	O
phosphatases	O
.	O
Furthermore	O
,	O
ofthe	O
4	NUMBER
such	O
phosphatases	O
,	O
okadaic	O
acid	O
and	O
its	O
relatives	O
specifically	O
targetprotein	O
phosphatase	O
1	NUMBER
and	O
protein	O
phosphatase	O
2A	O
,	O
at	O
theexclusion	O
of	O
the	O
other	O
two	NUMBER
,	O
with	O
dissociation	O
constants	O
for	O
the	O
two	NUMBER
proteinsof	O
150	NUMBER
nM	O
and	O
30	NUMBER
pM	O
respectively	O
.	O
Because	O
of	O
this	O
,	O
this	O
class	O
of	O
moleculeshas	O
been	O
used	O
to	O
study	O
the	O
action	O
of	O
these	O
phosphatases	O
in	O
cells	O
.	O
OnceOA	O
binds	O
to	O
the	O
phosphatase	O
protein	O
,	O
it	O
results	O
in	O
hyperphosphorylation	O
ofspecific	O
proteins	O
within	O
the	O
afflicted	O
cell	O
,	O
which	O
in	O
turn	O
reduces	O
controlover	O
sodium	O
secretion	O
and	O
solute	O
permeability	O
of	O
the	O
cell	O
.	O
Affinitybetween	O
okadaic	O
acid	O
and	O
its	O
derivatives	O
and	O
PP2A	O
has	O
been	O
tested	O
,	O
and	O
it	O
wasshown	O
that	O
the	O
only	O
derivative	O
with	O
a	O
lower	O
dissociation	O
constant	O
,	O
andtherefore	O
higher	O
affinity	O
,	O
was	O
DTX1	O
,	O
which	O
has	O
been	O
shown	O
to	O
be	O
1.6	NUMBER
timesstronger	O
.	O
Furthermore	O
,	O
for	O
the	O
purpose	O
of	O
determining	O
the	O
toxicity	O
ofmixtures	O
of	O
different	O
okadaic	O
acid	O
derivatices	O
,	O
inhibitory	O
equivalency	O
factorsfor	O
the	O
relatives	O
of	O
okadaic	O
acid	O
have	O
been	O
studied	O
.	O
In	O
wild	O
type	O
PP2A	O
,	O
theinhibitory	O
equivalency	O
relative	O
to	O
okadaic	O
acid	O
were	O
0.9	NUMBER
for	O
DTX-1	O
and	O
0.6	NUMBER
forDTX-2	O
.	O
